Time (s);FP1;Sampling Rate
0.0000000000e+000;-2.1601267277e-002;1
9.9609375000e-002;-2.2025447654e-002;
1.9921875000e-001;-7.8990461935e-002;
2.9882812500e-001;-5.2458704368e-002;
3.9843750000e-001;-1.0033510850e-001;
4.9804687500e-001;-1.2494579172e-001;
5.9765625000e-001;-8.6704283574e-002;
6.9726562500e-001;-1.4745323047e-001;
7.9687500000e-001;-1.1283531978e-001;
8.9648437500e-001;9.4824650759e-003;
9.9609375000e-001;1.9170846057e-002;
1.0957031250e+000;3.1864256301e-002;
1.1953125000e+000;2.5104282204e-002;
1.2949218750e+000;3.5083994788e-003;
1.3945312500e+000;1.4436261572e-002;
1.4941406250e+000;3.9888697230e-003;
1.5937500000e+000;1.7602162064e-002;
1.6933593750e+000;-4.3570267170e-002;
1.7929687500e+000;3.1016759798e-002;
1.8925781250e+000;9.5145779527e-002;
1.9921875000e+000;1.2576386476e-001;
2.0917968750e+000;-7.1217312580e-003;
2.1914062500e+000;-9.0553121661e-002;
2.2910156250e+000;-1.3432357410e-001;
2.3906250000e+000;-1.1689588348e-001;
2.4902343750e+000;1.1620629065e-003;
2.5898437500e+000;2.3091127487e-001;
2.6894531250e+000;1.1044805187e-001;
2.7890625000e+000;1.2557880508e-001;
2.8886718750e+000;2.4371270707e-001;
2.9882812500e+000;1.7312372681e-001;
3.0878906250e+000;1.2668560876e-001;
3.1875000000e+000;1.0676973074e-001;
3.2871093750e+000;1.8937749899e-001;
3.3867187500e+000;1.2543433341e-001;
3.4863281250e+000;1.7035488610e-001;
3.5859375000e+000;1.1749491115e-001;
3.6855468750e+000;-4.7973174983e-002;
3.7851562500e+000;-6.9145552180e-002;
3.8847656250e+000;-7.8923836196e-002;
3.9843750000e+000;-1.5173550753e-001;
4.0839843750e+000;-8.3970486698e-002;
4.1835937500e+000;-7.1922905660e-002;
4.2832031250e+000;-1.6078601040e-002;
4.3828125000e+000;3.6799369913e-002;
4.4824218750e+000;5.9795965352e-002;
4.5820312500e+000;9.5768952704e-004;
4.6816406250e+000;-3.8262954594e-002;
4.7812500000e+000;-1.1862443247e-001;
4.8808593750e+000;-1.6989917982e-001;
4.9804687500e+000;-1.5504841713e-001;
5.0800781250e+000;-1.4420779003e-001;
5.1796875000e+000;-1.5533639315e-001;
5.2792968750e+000;-1.2505034728e-001;
5.3789062500e+000;-1.0480621872e-001;
5.4785156250e+000;-1.0946014689e-001;
5.5781250000e+000;-2.0173855836e-001;
5.6777343750e+000;-1.9225074723e-001;
5.7773437500e+000;-3.0563048601e-001;
5.8769531250e+000;-2.4685323088e-001;
5.9765625000e+000;-7.5775365508e-002;
6.0761718750e+000;1.4083017936e-002;
6.1757812500e+000;1.6132381689e-002;
6.2753906250e+000;2.4969421122e-002;
6.3750000000e+000;9.4701672525e-003;
6.4746093750e+000;4.6333479187e-002;
6.5742187500e+000;5.6604626412e-002;
6.6738281250e+000;1.0983405454e-001;
6.7734375000e+000;7.0770720095e-002;
6.8730468750e+000;9.6997320173e-002;
6.9726562500e+000;5.4637333911e-002;
7.0722656250e+000;4.1163598336e-002;
7.1718750000e+000;3.9886145079e-002;
7.2714843750e+000;3.9822520702e-003;
7.3710937500e+000;6.4506950492e-003;
7.4707031250e+000;-3.3105051784e-003;
7.5703125000e+000;3.1589994214e-002;
7.6699218750e+000;8.2162060535e-002;
7.7695312500e+000;8.2594003793e-002;
7.8691406250e+000;9.7634996384e-002;
7.9687500000e+000;6.8362278002e-002;
8.0683593750e+000;7.0754624211e-002;
8.1679687500e+000;6.1582143861e-002;
8.2675781250e+000;6.7429873451e-002;
8.3671875000e+000;1.3777446272e-001;
8.4667968750e+000;1.6769778502e-001;
8.5664062500e+000;2.0270085208e-001;
8.6660156250e+000;2.0767608785e-001;
8.7656250000e+000;3.4307946640e-001;
8.8652343750e+000;-5.3735811512e-002;
8.9648437500e+000;-7.3000422489e-002;
9.0644531250e+000;-4.0373889233e-002;
9.1640625000e+000;-8.8662893096e-002;
9.2636718750e+000;-1.2248512129e-001;
9.3632812500e+000;-1.0103050122e-001;
9.4628906250e+000;-6.1313752883e-002;
9.5625000000e+000;-1.9549811788e-002;
9.6621093750e+000;2.5834658594e-002;
9.7617187500e+000;3.9276056583e-002;
9.8613281250e+000;1.4532219000e-001;
9.9609375000e+000;1.2669326726e-001;
1.0060546875e+001;1.3202255858e-001;
1.0160156250e+001;2.2427945080e-001;
1.0259765625e+001;2.9256139979e-001;
1.0359375000e+001;2.1432812558e-001;
1.0458984375e+001;1.3876736710e-001;
1.0558593750e+001;2.3689832505e-001;
1.0658203125e+001;3.6250118963e-001;
1.0757812500e+001;3.8683231632e-001;
1.0857421875e+001;3.0923670750e-001;
1.0957031250e+001;3.7149845447e-001;
1.1056640625e+001;3.2473893880e-001;
1.1156250000e+001;3.2956913510e-001;
1.1255859375e+001;3.1335667620e-001;
1.1355468750e+001;3.5233697650e-001;
1.1455078125e+001;3.4785455256e-001;
1.1554687500e+001;3.7874202683e-001;
1.1654296875e+001;2.7570549917e-001;
1.1753906250e+001;3.0890593142e-001;
1.1853515625e+001;3.0095687445e-001;
